Account,House#,Street Name,Section,Lot #(s),Total Lots,Notes
02 748 08149600,615,CEDARWOOD LN,5,863,1,
02 748 03964100,616,CEDARWOOD LN,5,"785, 786",2,
02 748 03569250,617,CEDARWOOD LN,5,862,1,
02 748 11323300,618,CEDARWOOD LN,5,787,1,
02 748 10989360,619,CEDARWOOD LN,5,861,1,
02 748 09453505,620,CEDARWOOD LN,5,788,1,
02 748 06614200,621,CEDARWOOD LN,5,860,1,
02 748 08807655,622,CEDARWOOD LN,5,789,1,
02 748 05129600,623,CEDARWOOD LN,5,859,1,
02 748 08851720,624,CEDARWOOD LN,5,790,1,
02 748 05175900,625,CEDARWOOD LN,5,858,1,
02 748 02717600,626,CEDARWOOD LN,5,791,1,
02 748 12078250,627,CEDARWOOD LN,5,857,1,
02 748 08692600,1149,BLUE BIRD LN,5,804,1,
02 748 03684100,1151,BLUE BIRD LN,5,803,1,
02 748 09597300,1152,BLUE BIRD LN,5,777,1,
02 748 11645600,1153,BLUE BIRD LN,5,802,1,
02 748 11412511,1154,BLUE BIRD LN,5,776,1,
02 748 03231900,1155,BLUE BIRD LN,5,805,1,
02 748 03391626,1156,BLUE BIRD LN,5,775,1,
02 748 02543850,1158,BLUE BIRD LN,5,774,1,
02 748 02455610,1159,BLUE BIRD LN,5,"836, 837",2,
02 748 10088040,1160,BLUE BIRD LN,5,773,1,
02 748 11394820,1161,BLUE BIRD LN,5,835,1,
02 748 90005275,1162,BLUE BIRD LN,5,772,1,
02 748 04720065,1163,BLUE BIRD LN,5,834,1,
02 748 90005276,1164,BLUE BIRD LN,5,771,1,
02 748 10560200,1165,BLUE BIRD LN,5,764,1,
02 748 11321100,1166,BLUE BIRD LN,5,770,1,
02 748 07927298,1167,BLUE BIRD LN,5,765,1,
02 748 01525300,1169,BLUE BIRD LN,5,766,1,
02 748 06542055,1170,BLUE BIRD LN,5,768,1,
02 748 10059800,1171,BLUE BIRD LN,5,767,1,
02 748 07775700,604,ECHO COVE DR,5,761,1,
02 748 03351600,605,ECHO COVE DR,5,833,1,
02 748 09572650,606,ECHO COVE DR,5,760,1,
02 748 11438400,608,ECHO COVE DR,5,759,1,
02 748 04259250,610,ECHO COVE DR,5,758,1,
02 748 06655600,612,ECHO COVE DR,5,757,1,
02 748 03351500,613,ECHO COVE DR,5,"831, 832",2,
02 748 06569760,614,ECHO COVE DR,5,"756, 755",1.5,Partial Lot 755
02 748 06742720,617,ECHO COVE DR,5,830,1,
02 748 90011060,620,ECHO COVE DR,5,754,1,
02 748 02344300,621,ECHO COVE DR,5,829,1,
02 748 02312600,622,ECHO COVE DR,5,753,1,
02 748 11228245,625,ECHO COVE DR,5,828,1,
02 748 10506700,626,ECHO COVE DR,5,752,1,
02 748 08543830,627,ECHO COVE DR,5,827,1,
02 748 10270770,628,ECHO COVE DR,5,751,1,
02 748 04752010,629,ECHO COVE DR,5,826,1,
02 748 09453700,630,ECHO COVE DR,5,750,1,
02 748 08923500,631,ECHO COVE DR,5,825,1,
02 748 11813015,632,ECHO COVE DR,5,749,1,
02 748 04395615,633,ECHO COVE DR,5,824,1,
02 748 10951155,634,ECHO COVE DR,5,748,1,
02 748 03763816,635,ECHO COVE DR,5,823,1,
02 748 08524610,636,ECHO COVE DR,5,747,1,
02 748 10295600,637,ECHO COVE DR,5,822,1,
02 748 11336250,638,ECHO COVE DR,5,746,1,
02 748 06255900,639,ECHO COVE DR,5,821,1,
02 748 06765942,640,ECHO COVE DR,5,745,1,
02 748 12791415,641,ECHO COVE DR,5,820,1,
02 748 04830180,642,ECHO COVE DR,5,"743, 744",2,
02 748 10393700,646,ECHO COVE DR,5,742,1,
02 748 11036200,648,ECHO COVE DR,5,741,1,
02 748 07712615,649,ECHO COVE DR,5,729,1,
02 748 09667532,650,ECHO COVE DR,5,"739, 740",1,
02 748 03610750,654,ECHO COVE DR,5,732,1,
02 748 04298153,656,ECHO COVE DR,5,731,1,
02 748 04146172,658,ECHO COVE DR,5,,1,
02 748 90020048,620,MAPLE HILL LN,5,735,1,
02 748 90028915,621,MAPLE HILL LN,5,736,1,
02 748 01482500,622,MAPLE HILL LN,5,734,1,
02 748 06809210,623,MAPLE HILL LN,5,737,1,
02 748 07635658,624,MAPLE HILL LN,5,733,1,
02 748 06809200,625,MAPLE HILL LN,5,738,1,
02 748 02911233,1139,CLAIRE RD,5,705,1,
02 748 07798000,1141,CLAIRE RD,5,706,1,
02 748 10116403,1143,CLAIRE RD,5,707,1,
02 748 10116404,1145,CLAIRE RD,5,708,1,
02 748 08199851,1146,CLAIRE RD,5,853,1,
02 748 04679600,1147,CLAIRE RD,5,709,1,
02 748 00348600,1149,CLAIRE RD,5,710,1,
02 748 01643049,1150,CLAIRE RD,5,854,1,
02 748 11265980,1151,CLAIRE RD,5,711,1,
02 748 02385925,1152,CLAIRE RD,5,855,1,
02 748 08329600,1153,CLAIRE RD,5,712,1,
02 748 03153580,1154,CLAIRE RD,5,856,1,
02 748 04307800,1155,CLAIRE RD,5,713,1,
02 748 00271030,1157,CLAIRE RD,5,714,1,
02 748 04989630,1159,CLAIRE RD,5,715,1,
02 748 01535950,1161,CLAIRE RD,5,716,1,
02 748 01630300,1163,CLAIRE RD,5,"717, 718",2,
02 748 06414806,1166,CLAIRE RD,5,792,1,
02 748 12429950,1167,CLAIRE RD,5,719,1,
02 748 09559130,1168,CLAIRE RD,5,793,1,
02 748 01948830,1169,CLAIRE RD,5,720,1,
02 748 02221752,1171,CLAIRE RD,5,721,1,
02 748 02530350,1173,CLAIRE RD,5,"722, 723",2,
02 748 00051700,1178,CLAIRE RD,5,816,1,
02 748 07070300,1179,CLAIRE RD,5,"724, 725",2,
02 748 08217250,1180,CLAIRE RD,5,817,1,
02 748 01137300,1181,CLAIRE RD,5,726,1,
02 748 04328400,1182,CLAIRE RD,5,818,1,
02 748 90001202,1183,CLAIRE RD,5,727,1,
02 748 12791425,1184,CLAIRE RD,5,819,1,
02 748 90001201,1185,CLAIRE RD,5,728,1,
02 748 08543900,602,TOPLAND DR,5,806,1,
02 748 08543910,604,TOPLAND DR,5,807,1,
02 748 04264075,606,TOPLAND DR,5,808,1,
02 748 12285500,607,TOPLAND DR,5,801,1,
02 748 11382000,608,TOPLAND DR,5,"809, 810",2,
02 748 12317400,609,TOPLAND DR,5,800,1,
02 748 10599200,611,TOPLAND DR,5,799,1,
02 748 11387500,612,TOPLAND DR,5,811,1,
02 748 10460510,613,TOPLAND DR,5,798,1,
02 748 07226809,614,TOPLAND DR,5,"812, 813",2,
02 748 01449005,615,TOPLAND DR,5,797,1,
02 748 08661505,617,TOPLAND DR,5,796,1,
02 748 12335200,618,TOPLAND DR,5,814,1,
02 748 08661525,619,TOPLAND DR,5,795,1,
02 748 04424280,620,TOPLAND DR,5,815,1,
02 748 11306115,621,TOPLAND DR,5,794,1,
